Time,cpu,mem,replica,requests,responsetime,totalcpu,totalmemory
2020-07-22 23:43:57.130,1.6645531900147277,356814848.0,1.0,97.0,3.547892,2.0,8362713088.0
2020-07-22 23:44:02.130,1.671210687763635,355692544.0,1.0,96.0,3.547892,2.0,8362713088.0
2020-07-22 23:44:07.130,1.6734615765272738,385568768.0,1.0,96.0,3.547892,2.0,8362713088.0
2020-07-22 23:44:12.130,1.6667786418909099,390455296.0,1.0,96.0,3.547892,2.0,8362713088.0
2020-07-22 23:44:17.130,1.6617248084147,412344320.0,1.0,97.0,3.547892,2.0,8362713088.0
2020-07-22 23:44:22.130,1.6465949043272723,361873408.0,1.0,97.0,3.547892,2.0,8362713088.0
2020-07-22 23:44:27.130,1.6916208694545458,312897536.0,1.0,98.0,3.547892,2.0,8362713088.0
2020-07-22 23:44:32.130,1.6710789223187965,406921216.0,1.0,100.0,3.547892,2.0,8362713088.0
2020-07-22 23:44:37.130,1.6716975502081752,449871872.0,1.0,144.0,3.547892,2.0,8362713088.0
2020-07-22 23:44:42.130,1.6607807504181828,337797120.0,1.0,159.0,3.547892,2.0,8362713088.0
2020-07-22 23:44:47.130,1.6577188807624457,391057408.0,1.0,161.0,3.547892,2.0,8362713088.0
2020-07-22 23:44:52.130,1.6650690036874503,433303552.0,1.0,178.0,3.547892,2.0,8362713088.0
2020-07-22 23:44:57.130,1.655574036918974,481275904.0,1.0,209.0,3.547892,2.0,8362713088.0
2020-07-22 23:45:02.130,1.6486114550906006,408424448.0,1.0,225.0,3.547892,2.0,8362713088.0
2020-07-22 23:45:07.130,1.661130103113288,410755072.0,1.0,234.0,3.547892,2.0,8362713088.0
2020-07-22 23:45:12.130,1.6591105420639856,426979328.0,1.0,256.0,1.786471,2.0,8362713088.0
2020-07-22 23:45:17.130,1.6758850513645713,444289024.0,1.0,282.0,1.786471,2.0,8362713088.0
2020-07-22 23:45:22.130,1.653299702618181,311517184.0,1.0,288.0,1.786471,2.0,8362713088.0
2020-07-22 23:45:27.130,1.6719985433818207,345374720.0,1.0,281.0,1.786471,2.0,8362713088.0
2020-07-22 23:45:32.130,1.6562958677430493,341762048.0,1.0,279.0,1.786471,2.0,8362713088.0
2020-07-22 23:45:37.130,1.659994683933018,365019136.0,1.0,232.0,1.786471,2.0,8362713088.0
2020-07-22 23:45:42.130,1.6642378347636344,498327552.0,1.0,212.0,1.786471,2.0,8362713088.0
2020-07-22 23:45:47.130,1.6482818959999992,412577792.0,1.0,203.0,1.786471,2.0,8362713088.0
2020-07-22 23:45:52.130,1.6705862077454572,414691328.0,1.0,187.0,1.786471,2.0,8362713088.0
2020-07-22 23:45:57.130,1.66289722570879,352133120.0,1.0,151.0,1.786471,2.0,8362713088.0
2020-07-22 23:46:02.130,1.644916656144448,451944448.0,1.0,134.0,1.786471,2.0,8362713088.0
2020-07-22 23:46:07.130,1.6583702257685198,395952128.0,1.0,127.0,1.786471,2.0,8362713088.0
2020-07-22 23:46:12.130,1.6472592118108838,425156608.0,1.0,110.0,1.786471,2.0,8362713088.0
2020-07-22 23:46:17.130,1.6560724075153024,458395648.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:46:22.130,1.64736007139247,346992640.0,1.0,99.0,1.786471,2.0,8362713088.0
2020-07-22 23:46:27.130,1.6582211477735889,411017216.0,1.0,99.0,1.786471,2.0,8362713088.0
2020-07-22 23:46:32.130,1.659668643758052,281456640.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:46:37.130,1.6607653479470699,387039232.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:46:42.130,1.6477970829307078,415457280.0,1.0,99.0,1.786471,2.0,8362713088.0
2020-07-22 23:46:47.130,1.6340608634282159,299163648.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:46:52.130,1.6525389399079988,519610368.0,1.0,99.0,1.786471,2.0,8362713088.0
2020-07-22 23:46:57.130,1.6825126959999999,480604160.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:47:02.130,1.657950567036364,462237696.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:47:07.130,1.6704037923454538,527089664.0,1.0,99.0,1.786471,2.0,8362713088.0
2020-07-22 23:47:12.130,1.6584101200181818,427048960.0,1.0,99.0,1.786471,2.0,8362713088.0
2020-07-22 23:47:17.130,1.6548658098510869,411406336.0,1.0,99.0,1.786471,2.0,8362713088.0
2020-07-22 23:47:22.130,1.6615175569010348,407609344.0,1.0,98.0,1.786471,2.0,8362713088.0
2020-07-22 23:47:27.130,1.6534966890181824,423219200.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:47:32.130,1.6552183723205027,352006144.0,1.0,99.0,1.786471,2.0,8362713088.0
2020-07-22 23:47:37.130,1.6673693214311682,403996672.0,1.0,98.0,1.786471,2.0,8362713088.0
2020-07-22 23:47:42.130,1.676118101129113,372916224.0,1.0,98.0,1.786471,2.0,8362713088.0
2020-07-22 23:47:47.130,1.6709725378084022,400789504.0,1.0,99.0,1.786471,2.0,8362713088.0
2020-07-22 23:47:52.130,1.6582547127454546,379572224.0,1.0,99.0,1.786471,2.0,8362713088.0
2020-07-22 23:47:57.130,1.6581941589673657,468811776.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:48:02.130,1.645716070309092,462598144.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:48:07.130,1.6618604254259148,383385600.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:48:12.130,1.671090959418182,522326016.0,1.0,101.0,1.786471,2.0,8362713088.0
2020-07-22 23:48:17.130,1.6658647634727277,317747200.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:48:22.130,1.6726551669060565,459497472.0,1.0,98.0,1.786471,2.0,8362713088.0
2020-07-22 23:48:27.130,1.643470428353244,385208320.0,1.0,98.0,1.786471,2.0,8362713088.0
2020-07-22 23:48:32.130,1.6614590708246224,495730688.0,1.0,98.0,1.786471,2.0,8362713088.0
2020-07-22 23:48:37.130,1.6558680519090905,480477184.0,1.0,98.0,1.786471,2.0,8362713088.0
2020-07-22 23:48:42.130,1.65664391618182,453410816.0,1.0,98.0,1.786471,2.0,8362713088.0
2020-07-22 23:48:47.130,1.652461561854545,491565056.0,1.0,98.0,1.786471,2.0,8362713088.0
2020-07-22 23:48:52.130,1.6564808775706867,388218880.0,1.0,98.0,1.786471,2.0,8362713088.0
2020-07-22 23:48:57.130,1.6642119232391552,285794304.0,1.0,99.0,1.786471,2.0,8362713088.0
2020-07-22 23:49:02.130,1.6470088385847546,545017856.0,1.0,99.0,1.786471,2.0,8362713088.0
2020-07-22 23:49:07.130,1.6514291796149172,420765696.0,1.0,99.0,1.786471,2.0,8362713088.0
2020-07-22 23:49:12.130,1.6510715792181814,399319040.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:49:17.130,1.6633243651884557,569704448.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:49:22.130,1.6734584879002192,363515904.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:49:27.130,1.6554577348545443,490409984.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:49:32.130,1.6681753645272746,491900928.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:49:37.130,1.6503865670466737,462983168.0,1.0,100.0,1.786471,2.0,8362713088.0
2020-07-22 23:49:42.130,1.6507346358909085,327311360.0,1.0,145.0,1.786471,2.0,8362713088.0
2020-07-22 23:49:47.130,1.6622912746363634,339701760.0,1.0,174.0,1.786471,2.0,8362713088.0
2020-07-22 23:49:52.130,1.6532436451935486,483762176.0,1.0,183.0,1.786471,2.0,8362713088.0
2020-07-22 23:49:57.130,1.6641855412545437,480456704.0,1.0,183.0,1.786471,2.0,8362713088.0
2020-07-22 23:50:02.130,1.6545537011218376,386494464.0,1.0,233.0,1.786471,2.0,8362713088.0
2020-07-22 23:50:07.130,1.6421019608035645,431079424.0,1.0,248.0,1.786471,2.0,8362713088.0
2020-07-22 23:50:12.130,1.6532726720000004,472088576.0,1.0,247.0,1.841732,2.0,8362713088.0
2020-07-22 23:50:17.130,1.6557616509936526,323350528.0,1.0,238.0,1.841732,2.0,8362713088.0
2020-07-22 23:50:22.130,1.6515893562727266,427384832.0,1.0,249.0,1.841732,2.0,8362713088.0
2020-07-22 23:50:27.130,1.653494823897312,343314432.0,1.0,257.0,1.841732,2.0,8362713088.0
2020-07-22 23:50:32.130,1.665992754822638,489857024.0,1.0,265.0,1.841732,2.0,8362713088.0
2020-07-22 23:50:37.130,1.6606053470727267,444514304.0,1.0,274.0,1.841732,2.0,8362713088.0
2020-07-22 23:50:42.130,1.6607320943818191,446275584.0,1.0,234.0,1.841732,2.0,8362713088.0
2020-07-22 23:50:47.130,1.672818487808869,418906112.0,1.0,203.0,1.841732,2.0,8362713088.0
2020-07-22 23:50:52.130,1.65637595607273,520146944.0,1.0,193.0,1.841732,2.0,8362713088.0
2020-07-22 23:50:57.130,1.668324254285664,392151040.0,1.0,189.0,1.841732,2.0,8362713088.0
2020-07-22 23:51:02.130,1.6761168596236018,541556736.0,1.0,138.0,1.841732,2.0,8362713088.0
2020-07-22 23:51:07.130,1.6545244918363635,576983040.0,1.0,116.0,1.841732,2.0,8362713088.0
2020-07-22 23:51:12.130,1.664469336448429,376807424.0,1.0,113.0,1.841732,2.0,8362713088.0
2020-07-22 23:51:17.130,1.650427277327273,346017792.0,1.0,108.0,1.841732,2.0,8362713088.0
2020-07-22 23:51:22.130,1.6578595169366714,409485312.0,1.0,107.0,1.841732,2.0,8362713088.0
2020-07-22 23:51:27.130,1.6505514855818169,456720384.0,1.0,106.0,1.841732,2.0,8362713088.0
2020-07-22 23:51:32.130,1.6628346649818175,484941824.0,1.0,108.0,1.841732,2.0,8362713088.0
2020-07-22 23:51:37.130,1.6637132014545446,443211776.0,1.0,107.0,1.841732,2.0,8362713088.0
2020-07-22 23:51:42.130,1.6397931819090918,413077504.0,1.0,105.0,1.841732,2.0,8362713088.0
2020-07-22 23:51:47.130,1.6679409457636358,571142144.0,1.0,102.0,1.841732,2.0,8362713088.0
2020-07-22 23:51:52.130,1.66346758475023,487714816.0,1.0,103.0,1.841732,2.0,8362713088.0
2020-07-22 23:51:57.130,1.6711104253740827,514707456.0,1.0,105.0,1.841732,2.0,8362713088.0
2020-07-22 23:52:02.130,1.659969862399998,419467264.0,1.0,106.0,1.841732,2.0,8362713088.0
2020-07-22 23:52:07.130,1.6629509348351805,387735552.0,1.0,106.0,1.841732,2.0,8362713088.0
2020-07-22 23:52:12.130,1.658653426592241,414932992.0,1.0,107.0,1.841732,2.0,8362713088.0
2020-07-22 23:52:17.130,1.6558634029818167,489410560.0,1.0,107.0,1.841732,2.0,8362713088.0
2020-07-22 23:52:22.130,1.6552102488772549,563556352.0,1.0,106.0,1.841732,2.0,8362713088.0
2020-07-22 23:52:27.130,1.6641678892545462,353304576.0,1.0,104.0,1.841732,2.0,8362713088.0
2020-07-22 23:52:32.130,1.646024226636365,366415872.0,1.0,105.0,1.841732,2.0,8362713088.0
2020-07-22 23:52:37.130,1.662601550600001,373129216.0,1.0,105.0,1.841732,2.0,8362713088.0
2020-07-22 23:52:42.130,1.6413948145239006,433664000.0,1.0,105.0,1.841732,2.0,8362713088.0
